"text","is_toxic"
"@user Adorei o comercial também Jesus. Só achei que faltou um beijinho gay estilo Jesus e @user sabe?! Rsrsrs",True
"Cara isso foi muito babaca geral @user conhece o Monark e as merda que ele fala. Isso é muito merda eu @user E to decepcionada pra caralho mas não cabe a mim dizer",True
"Quem liga pra judeu kkkk",True
"Se vc for porco, folgado e relaxado, você não ia conseguir viver com ela mesmo. Realmente, gente escrota não ia conseguir conviver com a Jojo",True
"@user Toma no cu é vitamina como tu e tua prima.",True
"Se fosse um sniper ia ser louco",True
"@user é o meu saco @user @user @user",True
"Muita gente julgando e falando besteira. @user, os dois erraram ela em ter traído e ele em ter ficado com mulher casada. Agora os homens se coloquem no lugar dele, morando na rua, sem mulher, com um tempão sem transar e surge uma oportunidade dessa... Meu amigo, eu mesmo tenho praticamente certeza que não ia recusar. Sejam sinceros e se coloquem no lugar dele antes de julgar galera. Os dois estavam errados, só que a mulher nessa polêmica aí estava mais errada. Ele com tá com a oportunidade de mudar de vida agora, só basta ele querer e não crescer o olho de mais. É essencial fazer um acompanhamento psicológico pelo tanto de coisa que ele já passou e que não fique mais com mulher alheia, pq isso mata.",True
"@user Trasmonte olha lá! Uma besta quadrada!",True
"@user já vai tarde. Ele que estragava esse podcast. Sempre falou muita mer** e sem fundamento e sem conhecimento de causa nenhuma. E detalhe, não é a primeira vez. Isso só está acontecendo pq dessa vez ele conseguiu defender o absurdo, do absurdo do absurdo. Não que das outras vezes já não fosse um absurdo sem tamanho, tanto que foi lá atrás que parei de seguir e acompanhar o canal. Decisão tardia mas, enfim acertada, do Flow. Espero que ele aprenda com seus erros e se torne um ser humano melhor e não volte mais para o Flow.",True
"@user @user, exatamente. E quem abusa pra caralh* também? A família tradicional brasileira e os @user.",True
"Não vai arrumar trabalho nem de limpar bosta de cavalo na rua... @user",True
"desgraçada 🗣🗣 <url>",True
"Em um país extremamente homofobico, é necessário ensinar o respeito e o amor para com todos!!!",False
"@user demoníaco sei chato mentiroso baba só pega dinheiro do povo meu @user toda hora hora coronavius bolsonario com o filhos são os meus @user",True
"@user Como el ternero: MAMANDO.",True
"AAAAAA ADRIAN SUAR HIJO DE RE MIL PUTA COMO TE ODIO <url>",True
"@user To realizado igual tu gordola, tava no jogo!",True
"@user Matadora 🔥☄😍",True
"Que aventura dessa mulher louca, poderia ter ocorrido coisa pior.",True
"@user @user @user Zelensky n é nazista, ele n manda em todos os soldados ucranianos, ele foi atacado pelo assassino russo e seus chechenos terroristas... pergunto novamente, pq vc apoia o assassino putin, e o hamas terrorista?",True
"os looks do lolla simplesmente uma sequência de “é de uma imbecilidade atroz, de uma grosseria, de uma vulgaridade em vários momentos imperdoável”",True
"Ele falando dela me pareceu um maníaco sexual, descrevendo ela o corpo e as roupas e juntou com uma mulher com problemas psiquiátricos (talvez mentais), deu nisso...Acredito que ele de uma certa maneira induziu a mulher a ""querer"" isso !!! ninguém nessa história é vitima. Mas eu não confiaria em deixar minha filha ou esposa próxima a esse cara.",True
"@user a mesma coisa @user @user junto maluco forgado da porra",True
"@user Dale no seas mentiroso gordo",True
"'esse partido chamado P T e esse P Sol sao uma doenca pra nossa nacao um enfermo'",True
"@user ""Nosso""? Velho fdp",True
"<RT> @user: Lula e o PT estavam mortos e enterrados. Todavia, Bolsonaro ressuscitou Ali Babá e sua quadrilha de ladrões. Vamos lutar pa…",True
"@user ""ele e mais fofo que @user ? "" ahahah porra. defendendo um cara que nao conhece porque e bonitinho e ""fofo"" e @user sonha em pegar ele... mas nao consegue nem nng porque e feia e pouco inteligente. entao tem de usar os dedinhos e sonhar alto ahaha.... tao futil . vai ver crepusculo vai ....",True
"caralho eu dormi umas 15 horas kkkkkkkkkk",True
"folgada, tomara que seja eliminada",True
"Propaganda curtíssima com mensagem profunda. Boticário é @user ♡",False
"Porque estão abaixando a bola para os globalisitas, @user precisa ficar e mandar todo mundo tomar no cu!",True
"Falou demais , viu que deu merda , e depois correu pra fazer Seguro de Kú ! 😂😂😂😂😂😂😂😂😂",True
"@user, flow sem Monark 😭",True
"essa temp me matou de vergonha alheia",True
"@user claro querida, é simples: abdique da sua liberdade como mulher, sua liberdade comportamental, sexual e econômica, deixe que homens comandem sua vida e te vendam como mercadoria, que doenças lhe matem por pouco e quando for trabalhar e se for trabalhar, se torne uma engrenagem de uma indústria massacrante e desumana. @user, você está no século passado.",True
"Apesar do rolê ter sido uma merda pra mim, vi gente q me odiava no fundamental hoje sabendo letra da minha música de cor Isso sim eh emocionante",True
"Ta com o rabo ns cerca",True
"@user @user @user Racista do krlh, smt, lixo, branco, skatista, homem💪🏿🖕🏼🖕🏼💪🏿🖕🏼💪🏿🖕🏼💪🏿🖕🏼💪🏿🖕🏼🖕🏾",True
"@user @user @user Estúpida é aquela que colocou um babaca como vc no mundo.",True
"@user Bahiano nao tem cerebro, bolsonaro reeleito",True
"É só parar de falar merda mano",True
"Uma coisa que aprendi com essa geração é que as pessoas nao querem mais debater as coisas, querem que sejam como elas desejam que seja. Infelizmente estão criando pessoas burras e fracas com isso, pq não debatem mais, só querem cancelar as pessoas que são diferente delas, o que vamos ver será uma geração de burros e ignorantes que facilmente são manipulados pelo governo.",True
"Agora não adianta chorar, @user te avisou...! Defecar pela boca pra um público pode ter severas consequências...",True
"Seu corpo gordinho e lindo adoro mulhres gordinhas.vc e um @user em frente.for.abraço",True
"Isso é uma afronta à toda sociedade, por mais que esses infelizes tente nos empurrar essa filosofia do inferno JAMAIS vão consegui ser visto como pessoas normais, pois saibam que bem psicólogo nem médicos podem tirar algo que foi posto por @user que se chama DNA esse grupo é uma bosta é a escória da humanidade @user acima de tudo e a família .",True
"@user @user @user Igual a sua opinião, aliás discutir com petista militonto é divertido e por isso que estou aqui até agora . Mas sabe o nível de burrice e retardo mental já me cansou. Continua acreditando em quadrilha e no Bandido pra lá",True
