"text","is_toxic"
"Mais um lixo",True
"Essa nao tem vergonha na cara!!",True
"Essa mulher é doente.pilantra!",True
"Comunista safada...",True
"Vagabunda. Comunista. Mentirosa. O povo chileno nao merece uma desgraça desta.",True
"COMUNISTA SAFADA, MALPARIDA, MAMAGUEVA, DESGRAÇADA, COÑO É TU MADRE.",True
"Besta quadrada.",True
"Se elegeu as nossas custas",True
"Comunista lixo!",True
"Quem tem pena é galinha, mas ela é uma VACA LOUCA.",True
"Mande essa Bachelet plantar batata no asfalto. Puta que pariu até o tamborete de bordel se acha no direito de falar do Brasil.",True
"Mulherzinha safada",True
"Oportunista essa corrupta.Agora todos os Comunistas querem se fazer de vítimas.",True
"Porque é uma bandida",True
"Mentem e roubam..... Não vai mais mamar.....",True
"Tudo igual. Só pensam no próprio rabo",True
"Plano da esquerda foi é e será sempre críticar não nunca teve um plano de governo único plano era como roubar .",True
"Guarde sua ""pena"" ...nos da ânsia de vômito",True
"Quem não têm caráter é contra o presidente Bolsonaro",True
"O problema dela é que a tetinha secou",True
"Será que alguém em sã consciência ainda vai acreditar nesta farsante? Não acredito em um fio do seu cabelo pintado.",True
"Ela tem cara de homem né? Macron deve achar gata",True
"É uma cara de pau mesmo... 😡",True
"Nojo dessa pilantra",True
"Olha ai a hipocrisia dessa mulher",True
"Joga uma carteira de trabalho que correm todos, na verdade não gostam de trabalhar só sabem roubar o brasil",True
"Velha idiota.",True
"Outra bandida ...",True
"BACHELETA DA TRETA E MUTRETA CHILENA..CANALHA SAPATONA.. BICHELETA..",True
"Ridícula nojenta",True
"hipocrisia, mal do seculo: falta de caráter geral. Ser humano não deu certo.",True
"Isso é uma realidade da imbecilidade humana, não tem moral prá nada...",True
"E eu tenho pena de vc sua ridícula.",True
"Eu tenho pena do Brasil, pois com o PT no poder todos os corruPTos do mundo tiraram vantagem das nossas riquezas. Inclusive essa hipócrita amiga da Dilma.🤔",True
"Óleo de peroba pra lustrar a cara de pau!",True
"Mentir e roubar. Tudo que os comunistas sabem fazer. Trabalhar e produzir alguma coisa, jamais.",True
"Velha barriguda d bem folgada, heim?🧐🤔😤",True
"Esquerdista agora fala em democracia porque levou uma surra no voto, assim como vagabundo jura por Deus depois de um tapa na lateral.🤣",True
"Aí a ganância falou mais alto... corrupta!",True
"Nojo 🙈🙉🙊sempre assim",True
"Devolve o dinheiro roubado via OAS...",True
"Mais uma esquerdista ridícula💩💩",True
"Isso não passa de uma mera oportunista! #michelebachelet #oas não passa de uma múmia esquerdista ainda em atividade minha querida @user.zambelli . Obrigado pelas informações de sempre 🇧🇷💙",True
"Rapariga de cego ! Quem essa vagabunda pensa que é pra dar pitaco aqui dentro ! Vagabunda",True
"Bachelet vc como todo bom esquerdista é uma hipócrita. Tenha pena de vc e do seu povo.",True
"Q mulher ordinária",True
"Realmente, uma verdadeira hipócrita!",True
"Simples... São canalhas que amam o dinheiro do povo. 👊🏾 🇧🇷 Acabou pra eles aí ficam nesta choradeira de 🚮. Esgoto... Lama podre. Isso eh o comunismo. Povo na merda é eles de boa. Canalhas! 👊🏾",True
"Pq é uma vaca.",True
"Porca asquerosa🤮🤮🤮",True
"Realmente a hipocrisia está estampada na cara de pau 👎👎👎👎",True
"Ridícula vai cuidar da sua vida",True
"Deve ter pena dela quando descobrir os podre dela essa imoral",True
"Velha cretina",True
"Da esquerda não se aproveita nada, seja ela de qualquer país!",True
"Horrorosa vaca suja",True
"Pena eu não tenho de vc corrupta, qdo for presa 👊",True
"Hipocrisia esquerdopata oportunista",True
"E nós sentimos ranço dela! Ela pode guardar a pena dela pra ela na mesma conta que o Lula mandou o dinheiro.",True
"🇧🇷💪💪💪Bandidagem safados Globolixo globonewslixo mídia lixo nojenta apátridas",True
